INSTNM,CITY,STABBR,PREDDEG,ADDR
University of Redlands,Redlands,CA,3,"1200 E. Colton Ave"
College of the Redwoods,Eureka,CA,2,"7351 Tompkins Hill Rd"
Salon Success Academy-Upland,Upland,CA,1,"1385 E. Foothill Blvd"
Salon Success Academy-Corona,Corona,CA,1,"2097 Compton Ave. Suite 201"
Rio Hondo College,Whittier,CA,2,"3600 Workman Mill Rd"
Riverside City College,Riverside,CA,2,"4800 Magnolia Avenue"
Dongguk University Los Angeles,Los Angeles,CA,4,"440 Shatto Pl"
Sacramento City College,Sacramento,CA,2,"3835 Freeport Blvd"
Saddleback College,Mission Viejo,CA,1,"28000 Marguerite Pky"
Samuel Merritt University,Oakland,CA,3,"3100 Telegraph Avenue"
San Diego City College,San Diego,CA,2,"1313 Park Boulevard"
San Diego Mesa College,San Diego,CA,2,"7250 Mesa College Dr"
San Diego Miramar College,San Diego,CA,2,"10440 Black Mountain Rd"
San Diego State University,San Diego,CA,3,"5500 Campanile Dr"
University of San Diego,San Diego,CA,3,"5998 Alcala Park"
San Francisco Art Institute,San Francisco,CA,3,"800 Chestnut St"
San Francisco Conservatory of Music,San Francisco,CA,3,"50 Oak Street"
San Francisco State University,San Francisco,CA,3,"1600 Holloway Ave"
University of San Francisco,San Francisco,CA,3,"2130 Fulton St"
San Joaquin College of Law,Clovis,CA,4,"901 Fifth St"
San Joaquin Delta College,Stockton,CA,2,"5151 Pacific Ave"
San Joaquin Valley College-Visalia,Visalia,CA,1,"8344 W Mineral King Ave"
San Joaquin Valley College-Bakersfield,Bakersfield,CA,1,"201 New Stine Road"
William Jessup University,Rocklin,CA,3,"2121 University Avenue"
San Jose City College,San Jose,CA,2,"2100 Moorpark Ave"
San Jose State University,San Jose,CA,3,"One Washington Square"
College of San Mateo,San Mateo,CA,2,"1700 W Hillsdale Blvd"
Santa Barbara Business College-Bakersfield,Bakersfield,CA,1,"5300 California Avenue"
Santa Barbara City College,Santa Barbara,CA,2,"721 Cliff Drive"
Santa Clara University,Santa Clara,CA,3,"500 El Camino Real"
Santa Monica College,Santa Monica,CA,1,"1900 Pico Blvd"
Santa Rosa Junior College,Santa Rosa,CA,2,"1501 Mendocino Avenue"
Saybrook University,Pasadena,CA,4,"55 W Eureka Street"
Scripps College,Claremont,CA,3,"1030 North Columbia Avenue"
College of the Sequoias,Visalia,CA,2,"915 S. Mooney Blvd"
Shasta Bible College and Graduate School,Redding,CA,3,"2951 Goodwater Ave."
Shasta College,Redding,CA,2,"11555 Old Oregon Trail"
Sierra College,Rocklin,CA,2,"5100 Sierra College Blvd"
Sierra College of Beauty,Merced,CA,1,"1340 W 18th St"
Trinity Law School,Santa Ana,CA,4,"2200 N Grand Ave"
Simpson University,Redding,CA,3,"2211 College View Drive"
College of the Siskiyous,Weed,CA,2,"800 College Ave"
Charles A Jones Career and Education Center,Sacramento,CA,1,"5451 Lemon Hill Avenue"
Skyline College,San Bruno,CA,2,"3300 College Dr"
San Bernardino Valley College,San Bernardino,CA,2,"701 South Mount Vernon Avenue"
Saint Mary's College of California,Moraga,CA,3,"1928 Saint Marys Road"
Solano Community College,Fairfield,CA,2,"4000 Suisun Valley Rd"
Sonoma State University,Rohnert Park,CA,3,"1801 E Cotati Ave"
South Baylo University,Anaheim,CA,4,"1126 N Brookhurst St"
South Coast College,Orange,CA,1,"2011 W. Chapman Avenue"
Vanguard University of Southern California,Costa Mesa,CA,3,"55 Fair Dr"
Concorde Career College-Garden Grove,Garden Grove,CA,1,"12951 Euclid Street, Suite 101"
Southwestern College,Chula Vista,CA,2,"900 Otay Lakes Rd."
Starr King School for the Ministry,Oakland,CA,4,"414 13th St., Suite 700"
Marshall B Ketchum University,Fullerton,CA,4,"2575 Yorba Linda Blvd"
Southern California Institute of Architecture,Los Angeles,CA,3,"960 E. 3rd Street"
University of Southern California,Los Angeles,CA,3,"University Park"
Southwestern Law School,Los Angeles,CA,4,"3050 Wilshire Boulevard"
Taft College,Taft,CA,2,"29 Cougar Court"
Claremont School of Theology,Claremont,CA,4,"1325 N College Ave"
Thomas Aquinas College,Santa Paula,CA,3,"10000 Ojai Road"
Epic Bible College & Graduate School,Sacramento,CA,2,"4330 Auburn Boulevard"
UEI College-Huntington Park,Huntington Park,CA,1,"6055 Pacific Boulevard"
Concorde Career College-San Bernardino,San Bernardino,CA,1,"201 East Airport Drive, Suite A"
Concorde Career College-North Hollywood,North Hollywood,CA,1,"12412 Victory Boulevard"
Ventura College,Ventura,CA,2,"4667 Telegraph Rd"
The Colleges of Law at Ventura,Ventura,CA,4,"4475 Market St"
Bridges Beauty College,Victorville,CA,1,"16515 Mojave Drive"
Victor Valley College,Victorville,CA,1,"18422 Bear Valley Rd"
Berkeley City College,Berkeley,CA,1,"2050 Center Sreet"
Walden University,Minneapolis,MN,3,"100 Washington Avenue South, Suite 1210"
Waynes College of Beauty,Salinas,CA,1,"1271 North Main Street"
West Hills College-Coalinga,Coalinga,CA,1,"300 Cherry Lane"
West Los Angeles College,Culver City,CA,2,"9000 Overland Avenue"
West Valley College,Saratoga,CA,2,"14000 Fruitvale Ave"
Carrington College-Sacramento,Sacramento,CA,1,"8909 Folsom Blvd."
Westminster Theological Seminary in California,Escondido,CA,4,"1725 Bear Valley Parkway"
Westmont College,Santa Barbara,CA,3,"955 La Paz Rd"
Whittier College,Whittier,CA,3,"13406 E Philadelphia Street"
Woodbury University,Burbank,CA,3,"7500 N. Glenoaks Blvd"
The Wright Institute,Berkeley,CA,4,"2728 Durant Ave"
Thomas Jefferson School of Law,San Diego,CA,4,"701 B Street - Suite 110"
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,3,"7215 Waring Ave"
Yuba College,Marysville,CA,2,"2088 N Beale Rd"
The Salon Professional Academy-Grand Junction,Grand Junction,CO,1,"432 North Avenue"
Adams State University,Alamosa,CO,3,"208 Edgemont Blvd"
Aims Community College,Greeley,CO,1,"5401 W. 20th St."
Arapahoe Community College,Littleton,CO,2,"5900 S. Santa Fe Dr."
Bel-Rea Institute of Animal Technology,Denver,CO,2,"1681 S Dayton St"
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,3,"1380 Lawrence Street, Lawrence Street Center, Suite 1400"
University of Colorado Colorado Springs,Colorado Springs,CO,3,"1420 Austin Bluffs Parkway"
Spartan College of Aeronautics and Technology,Broomfield,CO,2,"10851 W 120th Ave"
University of Colorado Boulder,Boulder,CO,3,"Regent Drive at Broadway"
Colorado Christian University,Lakewood,CO,3,"8787 West Alameda Avenue"
Colorado College,Colorado Springs,CO,3,"14. E Cache La Poudre St."
Concorde Career College-Aurora,Aurora,CO,1,"111 N. Havana Street"
Colorado Mountain College,Glenwood Springs,CO,1,"802 Grand Ave."
Colorado Northwestern Community College,Rangely,CO,2,"500 Kennedy Drive"
Colorado School of Mines,Golden,CO,3,"1500 Illinois St"
Colorado School of Trades,Lakewood,CO,2,"1575 Hoyt St"
Colorado State University-Fort Collins,Fort Collins,CO,3,"102 Administration Building"
Colorado Technical University-Colorado Springs,Colorado Springs,CO,3,"1575 Garden of the Gods Road, Suite 100"
Community College of Aurora,Aurora,CO,2,"16000 E CentreTech Pky"
Technical College of the Rockies,Delta,CO,1,"1765 hwy 50"
Community College of Denver,Denver,CO,2,"1111 W. Colfax Ave."
Lincoln College of Technology-Denver,Denver,CO,1,"11194 E 45th Ave"
Denver Seminary,Littleton,CO,4,"6399 S. Santa Fe Drive"
University of Denver,Denver,CO,3,"2199 S. University Blvd"
Emily Griffith Technical College,Denver,CO,1,"1860 Lincoln Street"
Fort Lewis College,Durango,CO,3,"1000 Rim Drive"
Front Range Community College,Westminster,CO,1,"3645 W 112th Ave"
Iliff School of Theology,Denver,CO,4,"2323 E. Iliff Ave."
International Salon and Spa Academy,Colorado Springs,CO,1,"5707 N Academy Blvd"
Lamar Community College,Lamar,CO,2,"2401 S Main St"
Colorado Mesa University,Grand Junction,CO,3,"1100 North Avenue"
Metropolitan State University of Denver,Denver,CO,3,"Speer Blvd and Colfax Ave"
Morgan Community College,Fort  Morgan,CO,1,"920 Barlow Road"
Naropa University,Boulder,CO,3,"2130 Arapahoe Ave"
Nazarene Bible College,Colorado Springs,CO,3,"1465 Kelly Johnson Blvd"
Northeastern Junior College,Sterling,CO,1,"100 College Avenue"
University of Northern Colorado,Greeley,CO,3,"Carter Hall - Rm 4000"
Otero College,La Junta,CO,1,"1802 Colorado Ave"
Pikes Peak State College,Colorado Springs,CO,1,"5675 S Academy Blvd"
Pueblo Community College,Pueblo,CO,1,"900 W Orman Ave"
Red Rocks Community College,Lakewood,CO,1,"13300 W Sixth Ave"
Regis University,Denver,CO,3,"3333 Regis Blvd"
Rocky Mountain College of Art and Design,Lakewood,CO,3,"1600 Pierce St"
Montessori Education Center of the Rockies,Denver,CO,1,"3975 Martin Luther King Blvd."
Colorado State University Pueblo,Pueblo,CO,3,"2200 Bonforte Blvd"
Pickens Technical College,Aurora,CO,1,"500 Airport Blvd"
Intellitec College-Colorado Springs,Colorado Springs,CO,2,"2315 East Pikes Peak Avenue"
Intellitec College-Grand Junction,Grand Junction,CO,1,"772 Horizon Dr."
Trinidad State College,Trinidad,CO,1,"600 Prospect Street"
United States Air Force Academy,USAF Academy,CO,3,"2304 Cadet Drive, Suite 3800"
Empire Beauty School-Thornton,Thornton,CO,1,"3811 E 120th Ave"
Western Colorado University,Gunnison,CO,3,"1 Western Way"
Albertus Magnus College,New Haven,CT,3,"700 Prospect St"
Asnuntuck Community College,Enfield,CT,1,"170 Elm St"
Bais Binyomin Academy,Monsey,NY,3,"51 Carlton Road"
University of Bridgeport,Bridgeport,CT,3,"126 Park Avenue"
Central Connecticut State University,New Britain,CT,3,"1615 Stanley St"
Charter Oak State College,New Britain,CT,3,"55 Paul Manafort Drive"
Cortiva Institute,Cromwell,CT,1,"45 Shunpike Road, Suite 10"
Connecticut College,New London,CT,3,"270 Mohegan Avenue"
Porter & Chester Institute of Hamden,Hamden,CT,1,"1245 Dixwell Avenue"
University of Connecticut,Storrs,CT,3,"352 Mansfield Road"
Goodwin University,East Hartford,CT,2,"One Riverside Drive"
Lincoln Technical Institute-East Windsor,East Windsor,CT,1,"97 Newberry Road"
Eastern Connecticut State University,Willimantic,CT,3,"83 Windham St"
Fairfield University,Fairfield,CT,3,"1073 N Benson Rd"
Paul Mitchell the School-North Haven,North Haven,CT,1,"97 Washington Avenue"
Capital Community College,Hartford,CT,2,"950 Main Street"
Rensselaer at Hartford,Hartford,CT,4,"275 Windsor St"
American Institute-West Hartford,West Hartford,CT,1,"99 South Street"
Hartford International University for Religion and Peace,Hartford,CT,4,"77 Sherman Street"
University of Hartford,West Hartford,CT,3,"200 Bloomfield Ave"
Holy Apostles College and Seminary,Cromwell,CT,3,"33 Prospect Hill Road"
Housatonic Community College,Bridgeport,CT,2,"900 Lafayette Blvd"
Manchester Community College,Manchester,CT,2,"Great Path"
Naugatuck Valley Community College,Waterbury,CT,2,"750 Chase Parkway"
Middlesex Community College,Middletown,CT,2,"100 Training Hill Rd"
Mitchell College,New London,CT,3,"437 Pequot Avenue"
Three Rivers Community College,Norwich,CT,2,"574 New London Turnpike"
Lincoln Technical Institute-New Britain,New Britain,CT,1,"200 John Downey Dr"
New England Tractor Trailer Training School of Connecticut,Somers,CT,1,"32 Field Rd"
University of New Haven,West Haven,CT,3,"300 Boston Post Road"
Norwalk Community College,Norwalk,CT,2,"188 Richards Avenue"
Northwestern Connecticut Community College,Winsted,CT,2,"Park Pl E"
Paier College,Bridgeport,CT,3,"84 iranistan Ave"
Porter & Chester Institute,Bridgeport,CT,1,"156 Boston Avenue"
Post University,Waterbury,CT,3,"800 Country Club Rd"
Quinebaug Valley Community College,Danielson,CT,2,"742 Upper Maple St"
Quinnipiac University,Hamden,CT,3,"275 Mt Carmel Ave"
Sacred Heart University,Fairfield,CT,3,"5151 Park Ave"
University of Saint Joseph,West Hartford,CT,3,"1678 Asylum Avenue"
Gateway Community College,New Haven,CT,2,"20 Church Street"
Southern Connecticut State University,New Haven,CT,3,"501 Crescent Street"
Stone Academy-West Haven,West Haven,CT,1,"560 Saw Mill Road"
Trinity College,Hartford,CT,3,"300 Summit St"
Tunxis Community College,Farmington,CT,2,"271 Scott Swamp Road"
United States Coast Guard Academy,New London,CT,3,"15 Mohegan Avenue"
Wesleyan University,Middletown,CT,3,"45 Wyllys Avenue"
Western Connecticut State University,Danbury,CT,3,"181 White Street"
Yale University,New Haven,CT,3,"Woodbridge Hall"
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,1,"424 Savannah Rd"
Dawn Career Institute LLC,Newark,DE,1,"252 Chapman Road, Suite 100"
Delaware Technical Community College-Terry,Dover,DE,2,"100 Campus Drive"
Delaware State University,Dover,DE,3,"1200 N. Dupont Highway"
University of Delaware,Newark,DE,3,"104 Hullihen Hall"
Goldey-Beacom College,Wilmington,DE,3,"4701 Limestone Rd"
Schilling-Douglas School of Hair Design LLC,Newark,DE,1,"211 Louviers Drive"
Wilmington University,New Castle,DE,3,"320 Dupont Hwy"
American University,Washington,DC,3,"4400 Massachusetts Ave NW"
The Catholic University of America,Washington,DC,3,"620 Michigan Avenue, NE"
University of the District of Columbia,Washington,DC,3,"4200 Connecticut Ave NW"
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,4,"487 Michigan Ave, NE"
Gallaudet University,Washington,DC,3,"800 Florida Ave, NE"
George Washington University,Washington,DC,3,"1918 F Street, NW"
Georgetown University,Washington,DC,3,"37th and O St NW"
Howard University,Washington,DC,3,"2400 Sixth St NW"
Strayer University-District of Columbia,Washington,DC,3,"1133 15th St NW"
National Conservatory of Dramatic Arts,Washington,DC,1,"1556 Wisconsin Ave NW"
Trinity Washington University,Washington,DC,3,"125 Michigan Ave NE"
Wesley Theological Seminary,Washington,DC,4,"4500 Massachusetts Ave., NW"
Atlantic Technical College,Coconut Creek,FL,1,"4700 Coconut Creek Parkway"
The Baptist College of Florida,Graceville,FL,3,"5400 College Dr"
Barry University,Miami,FL,3,"11300 NE 2nd Ave"
Bethune-Cookman University,Daytona Beach,FL,3,"640 Dr Mary McLeod Bethune Blvd"
Lynn University,Boca Raton,FL,3,"3601 N. Military Trail"
North Florida Technical College,Starke,FL,1,"609 N Orange St"
Eastern Florida State College,Melbourne,FL,2,"3865 North Wickham Rd"
Broward College,Fort Lauderdale,FL,2,"111 East Las Olas Blvd"
Albizu University-Miami,Miami,FL,3,"2173 N.W. 99th Avenue"
College of Central Florida,Ocala,FL,1,"3001 SW College Rd"
Johnson University Florida,Kissimmee,FL,3,"1011 Bill Beck Blvd"
University of Central Florida,Orlando,FL,3,"4000 Central Florida Blvd"
Charlotte Technical College,Port Charlotte,FL,1,"18150 Murdock Circle"
Chipola College,Marianna,FL,2,"3094 Indian Circle"
Lorenzo Walker Technical College,Naples,FL,1,"3702 Estey Avenue"
Daytona State College,Daytona Beach,FL,2,"1200 W. International Speedway Blvd."
South University-West Palm Beach,Royal Palm Beach,FL,3,"9801 Belvedere Road"
Eckerd College,Saint Petersburg,FL,3,"4200 54th Ave S"
Florida SouthWestern State College,Fort Myers,FL,2,"8099 College Parkway"
Edward Waters University,Jacksonville,FL,3,"1658 Kings Rd"
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,3,"1 Aerospace Blvd."
Florida Agricultural and Mechanical University,Tallahassee,FL,3,"1500 S Martin Luther King Jr Blvd"
Florida Atlantic University,Boca Raton,FL,3,"777 Glades Rd, Administration Bldg., Room 339"
Florida State College at Jacksonville,Jacksonville,FL,2,"501 W State St"
Flagler College,Saint Augustine,FL,3,"74 King Street"
Florida College,Temple Terrace,FL,2,"119 N Glen Arven Ave"
Concorde Career Institute-Jacksonville,Jacksonville,FL,1,"7259 Salisbury Road"
Concorde Career Institute-Miramar,Miramar,FL,1,"10933 Marks Way"
Concorde Career Institute-Tampa,Tampa,FL,1,"4202 W Spruce"
AdventHealth University,Orlando,FL,3,"671 Winyah Drive"
Florida Institute of Technology,Melbourne,FL,3,"150 West University Boulevard"
Florida Institute of Ultrasound Inc,Pensacola,FL,1,"8800 University Pky Ste A4"
Florida International University,Miami,FL,3,"11200 S. W. 8 Street"
The College of the Florida Keys,Key West,FL,1,"5901 College Rd"
Florida Memorial University,Miami Gardens,FL,3,"15800 NW 42 Avenue"
Florida Career College-Miami,Miami,FL,1,"1321 SW 107 Avenue, Suite 201B"
Florida School of Massage,Gainesville,FL,1,"6421 SW 13th St"
Florida Southern College,Lakeland,FL,3,"111 Lake Hollingsworth Dr"
Florida State University,Tallahassee,FL,3,"222 S. Copeland Street"
University of Florida,Gainesville,FL,3,"Tigert Hall"
Fort Pierce Beauty Academy,Fort Pierce,FL,1,"3028 S US 1"
Full Sail University,Winter Park,FL,3,"3300 University Blvd"
George Stone Technical College,Pensacola,FL,1,"2400 Longleaf Dr"
George T Baker Aviation Technical College,Miami,FL,1,"3275 NW 42nd Ave"
Gulf Coast State College,Panama City,FL,2,"5230 West U.S. Highway 98"
Key College,Fort Lauderdale,FL,2,"2810 East Oakland Park Blvd., #305"
Hillsborough Community College,Tampa,FL,2,"39 Columbia Drive"
Hobe Sound Bible College,Hobe Sound,FL,3,"11298 SE Gomez Ave"
Hollywood Institute of Beauty Careers,Hollywood,FL,1,"420 S. State Rd. 7"
Cortiva Institute,St. Petersburg,FL,1,"2370 34th Street North"
Indian River State College,Fort Pierce,FL,2,"3209 Virginia Ave"
International Academy,South Daytona,FL,1,"2550 S Ridgewood Ave"
AI Miami International University of Art and Design,Miami,FL,3,"1501 Biscayne Boulevard, Suite 100"
Jacksonville University,Jacksonville,FL,3,"2800 University Blvd N"
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,2,"1500 NW 49th St."
La Belle Beauty School,Hialeah,FL,1,"1495 West 49 Street"
Florida Gateway College,Lake City,FL,2,"Highway 90 East"
Lake Technical College,Eustis,FL,1,"2001 Kurt Street"
Lake-Sumter State College,Leesburg,FL,2,"9501 US Hwy 441"
Fort Myers Technical College,Fort Myers,FL,1,"3800 Michigan Ave"
Lively Technical College,Tallahassee,FL,1,"500 N Appleyard Dr"
Lindsey Hopkins Technical College,Miami,FL,1,"750 NW 20 Street"
Loraines Academy & Spa,Saint Petersburg,FL,1,"1012 58th St N"
Luther Rice College & Seminary,Lithonia,GA,3,"3038 Evans Mill Road"
State College of Florida-Manatee-Sarasota,Bradenton,FL,2,"5840 26th St W"
Manatee Technical College,Bradenton,FL,1,"6305 State Rd 70 East"
Traviss Technical College,Lakeland,FL,1,"3225 Winter Lake Rd"
Merryfield School of Pet Grooming,Oakland Park,FL,1,"5040 Northeast 13 Avenue"
Trinity International University-Florida,Miami,FL,3,"9010 SW 137th Ave, Suite #101"
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,1,"5780 NW 158th Street"
Miami Dade College,Miami,FL,2,"300 NE 2nd Avenue"
University of Miami,Coral Gables,FL,3,"University of Miami"
Orange Technical College-Mid Florida Campus,Orlando,FL,1,"2900 West Oak Ridge Road"
Paul Mitchell the School-Jacksonville,Jacksonville,FL,1,"4624 Town Crossing Drive, Suite 155"
North Florida College,Madison,FL,2,"325 NW Turner Davis Dr"
University of North Florida,Jacksonville,FL,3,"1 UNF Drive"
